Uniprot_ID	prediction	Category
Q13435	1.0	Swiss-Prot
Q9UFB7	1.0	Swiss-Prot
A8MQT2	1.0	Swiss-Prot
Q5SYE7	1.0	Swiss-Prot
Q17RW2	1.0	Swiss-Prot
Q6P1N0	1.0	Swiss-Prot
P35712	1.0	Swiss-Prot
Q9BXB5	1.0	Swiss-Prot
P0CJ78	1.0	Swiss-Prot
Q9NQV8	1.0	Swiss-Prot
Q8TF30	1.0	Swiss-Prot
Q9C0J8	1.0	Swiss-Prot
Q86UK7	1.0	Swiss-Prot
O60315	1.0	Swiss-Prot
Q9UPP2	1.0	Swiss-Prot
Q6ZMQ8	1.0	Swiss-Prot
O15534	1.0	Swiss-Prot
O15405	1.0	Swiss-Prot
Q6P5Q4	1.0	Swiss-Prot
Q9UPT8	1.0	Swiss-Prot
Q5TCZ1	1.0	Swiss-Prot
Q8NBF1	1.0	Swiss-Prot
P98169	1.0	Swiss-Prot
O60481	1.0	Swiss-Prot
Q96MX3	1.0	Swiss-Prot
Q92610	1.0	Swiss-Prot
P98168	1.0	Swiss-Prot
Q9Y613	1.0	Swiss-Prot
Q15942	1.0	Swiss-Prot
Q9UM47	1.0	Swiss-Prot
O14526	1.0	Swiss-Prot
Q86UU1	1.0	Swiss-Prot
O75112	1.0	Swiss-Prot
O95886	1.0	Swiss-Prot
P50570	1.0	Swiss-Prot
Q6ZTU2	1.0	Swiss-Prot
Q7Z589	1.0	Swiss-Prot
A6ND36	1.0	Swiss-Prot
Q92997	1.0	Swiss-Prot
Q9BWN1	1.0	Swiss-Prot
Q8NDX1	1.0	Swiss-Prot
Q14118	1.0	Swiss-Prot
O60879	1.0	Swiss-Prot
Q86X51	1.0	Swiss-Prot
Q8TF50	1.0	Swiss-Prot
O95196	1.0	Swiss-Prot
Q13625	1.0	Swiss-Prot
O15417	1.0	Swiss-Prot
Q5VUA4	1.0	Swiss-Prot
Q6VY07	1.0	Swiss-Prot
Q9Y5G9	1.0	Swiss-Prot
Q8TAX7	1.0	Swiss-Prot
Q5T1R4	1.0	Swiss-Prot
Q96NM4	1.0	Swiss-Prot
